#,Category,Word Type,Swedish,English,Other forms (tense / plural / etc.),Example,Example (English)
1,Greetings and pleasantries,Interjection,Hej,Hello,—,"Hej, hur mår du?","Hi, how are you?"
2,Greetings and pleasantries,Interjection,Hej då,Goodbye,—,"Hej då, vi ses imorgon!","Goodbye, see you tomorrow!"
3,Greetings and pleasantries,Phrase,God morgon,Good morning,—,God morgon! Har du sovit gott?,Good morning! Did you sleep well?
4,Greetings and pleasantries,Phrase,God kväll,Good evening,—,God kväll och välkommen hit.,Good evening and welcome.
5,Greetings and pleasantries,Interjection,Tack,Thank you,—,Tack för hjälpen!,Thanks for the help!
6,Greetings and pleasantries,Interjection,Varsågod,You're welcome/Please,—,Här är ditt kaffe. — Tack! — Varsågod.,Here's your coffee. — Thanks! — You're welcome.
7,Greetings and pleasantries,Interjection,Förlåt,Sorry,—,"Förlåt, jag menade inte att störa.","Sorry, I didn't mean to disturb you."
8,Greetings and pleasantries,Interjection,Ursäkta,Excuse me,—,"Ursäkta, var ligger stationen?","Excuse me, where is the station?"
9,Greetings and pleasantries,Particle,Ja,Yes,—,"Ja, det stämmer.","Yes, that's right."
10,Greetings and pleasantries,Particle,Nej,No,—,"Nej tack, jag är mätt.","No thanks, I'm full."
11,Greetings and pleasantries,Adverb,Snälla,Please (when making a request),—,"Snälla, kan du hjälpa mig?","Please, can you help me?"
12,Greetings and pleasantries,Phrase,Hur mår du?,How are you?,—,Hej Anna! Hur mår du idag?,Hi Anna! How are you today?
13,Greetings and pleasantries,Phrase,Jag mår bra,I'm fine,—,"Tack, jag mår bra.","Thanks, I'm fine."
14,People and pronouns,Pronoun,Jag,I,Object form: mig,Jag bor i Stockholm.,I live in Stockholm.
15,People and pronouns,Pronoun,Du,You (singular),Object form: dig,Du pratar bra svenska.,You speak good Swedish.
16,People and pronouns,Pronoun,Han,He,Object form: honom,Han jobbar på ett sjukhus.,He works at a hospital.
17,People and pronouns,Pronoun,Hon,She,Object form: henne,Hon läser en bok.,She is reading a book.
18,People and pronouns,Pronoun,Hen,They (gender-neutral singular),Object form: hen,Hen kommer lite senare.,They are coming a bit later.
19,People and pronouns,Pronoun,Vi,We,Object form: oss,Vi äter middag klockan sex.,We eat dinner at six o'clock.
20,People and pronouns,Pronoun,Ni,You (plural),Object form: er,Ni är alltid välkomna.,You are always welcome.
21,People and pronouns,Pronoun,De,They,Object form: dem,De bor i en liten by.,They live in a small village.
22,People and pronouns,Noun (en),Man,Man,Definite: mannen • Plural: män • Def. plural: männen,Mannen på bilden är min farbror.,The man in the photo is my uncle.
23,People and pronouns,Noun (en),Kvinna,Woman,Definite: kvinnan • Plural: kvinnor • Def. plural: kvinnorna,Kvinnan bredvid mig heter Sara.,The woman next to me is called Sara.
24,People and pronouns,Noun (ett),Barn,Child,Definite: barnet • Plural: barn • Def. plural: barnen,Vi har två barn.,We have two children.
25,People and pronouns,Noun (en),Familj,Family,Definite: familjen • Plural: familjer • Def. plural: familjerna,Min familj bor i Brasilien.,My family lives in Brazil.
26,People and pronouns,Noun (en),Vän,Friend,Definite: vännen • Plural: vänner • Def. plural: vännerna,Han är min bästa vän.,He is my best friend.
27,Everyday verbs,Verb,Är,Am/is/are,Infinitive: vara • Past: var • Supine: varit,Jag är trött idag.,I am tired today.
28,Everyday verbs,Verb,Har,Have/has,Infinitive: ha • Past: hade • Supine: haft,Hon har en ny cykel.,She has a new bike.
29,Everyday verbs,Verb,Gör,Do/does/doing,Infinitive: göra • Past: gjorde • Supine: gjort,Vad gör du på helgen?,What are you doing this weekend?
30,Everyday verbs,Verb,Pratar,Speaking/talking,Infinitive: prata • Past: pratade • Supine: pratat,Vi pratar svenska hemma.,We speak Swedish at home.
31,Everyday verbs,Verb,Äter,Eating,Infinitive: äta • Past: åt • Supine: ätit,Jag äter frukost klockan sju.,I eat breakfast at seven.
32,Everyday verbs,Verb,Dricker,Drinking,Infinitive: dricka • Past: drack • Supine: druckit,Han dricker kaffe varje morgon.,He drinks coffee every morning.
33,Everyday verbs,Verb,Går,Go/walking,Infinitive: gå • Past: gick • Supine: gått,Jag går till jobbet varje dag.,I walk to work every day.
34,Everyday verbs,Verb,Kommer,Coming,Infinitive: komma • Past: kom • Supine: kommit,Hon kommer hem sent ikväll.,She is coming home late tonight.
35,Everyday verbs,Verb,Sover,Sleeping,Infinitive: sova • Past: sov • Supine: sovit,Barnen sover redan.,The children are already asleep.
36,Everyday verbs,Verb,Ser,Seeing,Infinitive: se • Past: såg • Supine: sett,Ser du bussen där borta?,Do you see the bus over there?
37,Everyday verbs,Verb,Hör,Hearing,Infinitive: höra • Past: hörde • Supine: hört,Jag hör inte vad du säger.,I can't hear what you're saying.
38,Everyday verbs,Verb phrase,Tycker om,Liking,Infinitive: tycka om • Past: tyckte om • Supine: tyckt om,Jag tycker om att laga mat.,I like cooking.
39,Everyday verbs,Verb,Vill,Want,Infinitive: vilja • Past: ville • Supine: velat,Vill du ha en kopp te?,Would you like a cup of tea?
40,Food and drink,Noun (en),Mat,Food,"Definite: maten (uncountable, no common plural)",Maten på restaurangen var jättegod.,The food at the restaurant was really good.
41,Food and drink,Noun (en),Dryck,Beverage,Definite: drycken • Plural: drycker • Def. plural: dryckerna,Vilken dryck vill du ha?,Which drink would you like?
42,Food and drink,Noun (ett),Vatten,Water,Definite: vattnet (uncountable),Kan jag få ett glas vatten?,Could I have a glass of water?
43,Food and drink,Noun (ett),Kaffe,Coffee,Definite: kaffet (uncountable),Jag dricker kaffe utan socker.,I drink coffee without sugar.
44,Food and drink,Noun (ett),Te,Tea,Definite: teet (uncountable),Hon dricker te på kvällen.,She drinks tea in the evening.
45,Food and drink,Noun (ett),Öl,Beer,Definite: ölet • Plural: öl • Def. plural: ölen,Vi tog en öl efter jobbet.,We had a beer after work.
46,Food and drink,Noun (ett),Vin,Wine,Definite: vinet • Plural: vin • Def. plural: vinen,"Ett glas rött vin, tack.","A glass of red wine, please."
47,Food and drink,Noun (ett),Bröd,Bread,Definite: brödet • Plural: bröd • Def. plural: bröden,Jag bakar bröd på söndagar.,I bake bread on Sundays.
48,Food and drink,Noun (ett),Smör,Butter,Definite: smöret (uncountable),Det finns smör i kylskåpet.,There is butter in the fridge.
49,Food and drink,Noun (en),Ost,Cheese,Definite: osten • Plural: ostar • Def. plural: ostarna,Jag vill ha ost på smörgåsen.,I want cheese on the sandwich.
50,Food and drink,Noun (ett),Kött,Meat,Definite: köttet (uncountable),Vi äter inte kött på vardagar.,We don't eat meat on weekdays.
51,Food and drink,Noun (en),Fisk,Fish,Definite: fisken • Plural: fiskar • Def. plural: fiskarna,Vi köpte färsk fisk på torget.,We bought fresh fish at the market.
52,Food and drink,Noun (en),Frukt,Fruit,Definite: frukten • Plural: frukter • Def. plural: frukterna,Det ligger frukt på bordet.,There is fruit on the table.
53,Food and drink,"Noun (en, pl.)",Grönsaker,Vegetables,Singular: grönsak • Definite: grönsaken • Def. plural: grönsakerna,Jag äter grönsaker varje dag.,I eat vegetables every day.
54,Time and days,Noun (en),Tid,Time,Definite: tiden • Plural: tider • Def. plural: tiderna,Har du tid en stund?,Do you have a moment?
55,Time and days,Adverb,Idag,Today,—,Idag är det måndag.,Today is Monday.
